file_name;a–o;MSPA-class_color;FGdata_pixels_porc;BGarea
mb_full_2000_8_1_1_1.txt;2000;CORE(s) [green];--/--;0
mb_full_2000_8_1_1_1.txt;2000;CORE(m) [green];90.22/50.84;851358
mb_full_2000_8_1_1_1.txt;2000;CORE(l) [green];--/--;0
mb_full_2000_8_1_1_1.txt;2000;ISLET [brown];0.49/ 0.27;480492
mb_full_2000_8_1_1_1.txt;2000;PERFORATION [blue];2.88/ 1.62;353580
mb_full_2000_8_1_1_1.txt;2000;EDGE [black];4.66/ 2.63;643827
mb_full_2000_8_1_1_1.txt;2000;LOOP [yellow];0.00/ 0.00;0
mb_full_2000_8_1_1_1.txt;2000;BRIDGE [red];0.37/ 0.21;685362
mb_full_2000_8_1_1_1.txt;2000;BRANCH [orange];1.39/ 0.78;4045712
mb_full_2000_8_1_1_1.txt;2000;Background [grey];--/43.64;1000862/652335713
mb_full_2000_8_1_1_1.txt;2000;Missing [white];45.38;129/1242037590
mb_full_2000_8_1_1_1.txt;2000;Opening [grey];84.52 Integrity;999223/154252104
mb_full_2000_8_1_1_1.txt;2000;Core-Opening [darkgrey];--/ 6.08;720305/90945120
mb_full_2000_8_1_1_1.txt;2000;Border-Opening [grey];--/ 4.24;278918/63306984
mb_full_2001_8_1_1_1.txt;2001;CORE(s) [green];--/--;0
mb_full_2001_8_1_1_1.txt;2001;CORE(m) [green];90.19/50.78;858413
mb_full_2001_8_1_1_1.txt;2001;CORE(l) [green];--/--;0
mb_full_2001_8_1_1_1.txt;2001;ISLET [brown];0.49/ 0.27;466915
mb_full_2001_8_1_1_1.txt;2001;PERFORATION [blue];2.82/ 1.59;347407
mb_full_2001_8_1_1_1.txt;2001;EDGE [black];4.73/ 2.67;648910
mb_full_2001_8_1_1_1.txt;2001;LOOP [yellow];0.00/ 0.00;0
mb_full_2001_8_1_1_1.txt;2001;BRIDGE [red];0.37/ 0.21;678325
mb_full_2001_8_1_1_1.txt;2001;BRANCH [orange];1.40/ 0.79;4035759
mb_full_2001_8_1_1_1.txt;2001;Background [grey];--/43.69;981945/653097311
mb_full_2001_8_1_1_1.txt;2001;Missing [white];45.38;132/1242037672
mb_full_2001_8_1_1_1.txt;2001;Opening [grey];84.71 Integrity;980277/151881488
mb_full_2001_8_1_1_1.txt;2001;Core-Opening [darkgrey];--/ 6.19;702865/92509576
mb_full_2001_8_1_1_1.txt;2001;Border-Opening [grey];--/ 3.97;277412/59371912
mb_full_2002_8_1_1_1.txt;2002;CORE(s) [green];--/--;0
mb_full_2002_8_1_1_1.txt;2002;CORE(m) [green];90.15/50.56;871190
mb_full_2002_8_1_1_1.txt;2002;CORE(l) [green];--/--;0
mb_full_2002_8_1_1_1.txt;2002;ISLET [brown];0.49/ 0.28;465464
mb_full_2002_8_1_1_1.txt;2002;PERFORATION [blue];2.74/ 1.54;335913
mb_full_2002_8_1_1_1.txt;2002;EDGE [black];4.84/ 2.72;659122
mb_full_2002_8_1_1_1.txt;2002;LOOP [yellow];0.00/ 0.00;0
mb_full_2002_8_1_1_1.txt;2002;BRIDGE [red];0.37/ 0.21;666110
mb_full_2002_8_1_1_1.txt;2002;BRANCH [orange];1.41/ 0.79;4044814
mb_full_2002_8_1_1_1.txt;2002;Background [grey];--/43.91;943913/656388182
mb_full_2002_8_1_1_1.txt;2002;Missing [white];45.38;122/1242037516
mb_full_2002_8_1_1_1.txt;2002;Opening [grey];86.97 Integrity;942245/125575480
mb_full_2002_8_1_1_1.txt;2002;Core-Opening [darkgrey];--/ 5.35;668306/80007808
mb_full_2002_8_1_1_1.txt;2002;Border-Opening [grey];--/ 3.05;273939/45567672
mb_full_2003_8_1_1_1.txt;2003;CORE(s) [green];--/--;0
mb_full_2003_8_1_1_1.txt;2003;CORE(m) [green];90.08/50.18;872671
mb_full_2003_8_1_1_1.txt;2003;CORE(l) [green];--/--;0
mb_full_2003_8_1_1_1.txt;2003;ISLET [brown];0.50/ 0.28;471798
mb_full_2003_8_1_1_1.txt;2003;PERFORATION [blue];2.61/ 1.45;329901
mb_full_2003_8_1_1_1.txt;2003;EDGE [black];5.02/ 2.80;660526
mb_full_2003_8_1_1_1.txt;2003;LOOP [yellow];0.00/ 0.00;0
mb_full_2003_8_1_1_1.txt;2003;BRIDGE [red];0.37/ 0.20;656324
mb_full_2003_8_1_1_1.txt;2003;BRANCH [orange];1.41/ 0.79;4031387
mb_full_2003_8_1_1_1.txt;2003;Background [grey];--/44.30;923134/662148944
mb_full_2003_8_1_1_1.txt;2003;Missing [white];45.38;135/1242037620
mb_full_2003_8_1_1_1.txt;2003;Opening [grey];84.71 Integrity;921416/150277160
mb_full_2003_8_1_1_1.txt;2003;Core-Opening [darkgrey];--/ 4.52;631222/67582456
mb_full_2003_8_1_1_1.txt;2003;Border-Opening [grey];--/ 5.53;290194/82694704
mb_full_2004_8_1_1_1.txt;2004;CORE(s) [green];--/--;0
mb_full_2004_8_1_1_1.txt;2004;CORE(m) [green];89.91/49.60;884400
mb_full_2004_8_1_1_1.txt;2004;CORE(l) [green];--/--;0
mb_full_2004_8_1_1_1.txt;2004;ISLET [brown];0.51/ 0.28;458969
mb_full_2004_8_1_1_1.txt;2004;PERFORATION [blue];2.70/ 1.49;322310
mb_full_2004_8_1_1_1.txt;2004;EDGE [black];5.06/ 2.79;672597
mb_full_2004_8_1_1_1.txt;2004;LOOP [yellow];0.00/ 0.00;0
mb_full_2004_8_1_1_1.txt;2004;BRIDGE [red];0.37/ 0.21;655680
mb_full_2004_8_1_1_1.txt;2004;BRANCH [orange];1.44/ 0.80;4073652
mb_full_2004_8_1_1_1.txt;2004;Background [grey];--/44.83;904028/670097459
mb_full_2004_8_1_1_1.txt;2004;Missing [white];45.38;137/1242037648
mb_full_2004_8_1_1_1.txt;2004;Opening [grey];86.54 Integrity;902358/128287388
mb_full_2004_8_1_1_1.txt;2004;Core-Opening [darkgrey];--/ 5.58;635006/83349432
