CORE(s) [green];2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
CORE(m) [green];--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
CORE(l) [green];50.84;50.78;50.56;50.18;49.60;49.03;48.57;48.38;47.53;46.89;46.70;46.69;46.74;46.50;46.11;45.99;45.71;45.27;45.02;43.70
ISLET [brown];--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
PERFORATION [blue]; 0.27; 0.27; 0.28; 0.28; 0.28; 0.29; 0.29; 0.30; 0.29; 0.29; 0.31; 0.31; 0.29; 0.29; 0.35; 0.35; 0.34; 0.35; 0.35; 0.37
EDGE [black]; 1.62; 1.59; 1.54; 1.45; 1.49; 1.44; 1.40; 1.39; 1.38; 1.38; 1.46; 1.59; 1.62; 1.60; 1.63; 1.64; 1.67; 1.62; 1.59; 1.58
LOOP [yellow]; 2.63; 2.67; 2.72; 2.80; 2.79; 2.87; 2.90; 2.96; 2.91; 2.94; 3.02; 3.02; 2.96; 3.04; 3.31; 3.35; 3.28; 3.32; 3.37; 3.38
BRIDGE [red]; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
BRANCH [orange]; 0.21; 0.21; 0.21; 0.20; 0.21; 0.21; 0.20; 0.21; 0.20; 0.21; 0.22; 0.23; 0.21; 0.22; 0.26; 0.27; 0.27; 0.27; 0.27; 0.29
Background [grey]; 0.78; 0.79; 0.79; 0.79; 0.80; 0.80; 0.80; 0.82; 0.79; 0.80; 0.83; 0.86; 0.82; 0.84; 0.94; 0.95; 0.93; 0.93; 0.94; 0.96
Missing [white];43.64;43.69;43.91;44.30;44.83;45.36;45.84;45.94;46.90;47.49;47.46;47.29;47.35;47.51;47.41;47.47;47.80;48.25;48.46;49.72
Opening [grey];;;;;;;;;;;;;;;;;;;;
Core-Opening [darkgrey];;;;;;;;;;;;;;;;;;;;
Border-Opening [grey]; 6.08; 6.19; 5.35; 4.52; 5.58; 5.03; 4.50; 4.31; 4.46; 5.05; 5.56; 7.72; 6.65; 6.67; 6.59; 6.63; 8.02; 6.56; 5.60; 5.74
; 4.24; 3.97; 3.05; 5.53; 3.01; 2.43; 3.96; 3.35; 3.23; 2.41; 4.32; 2.33; 3.47; 3.82; 4.06; 4.47; 3.16; 5.11; 5.80; 4.34
